id;name;avatar;avatar_content_type;cover;cover_content_type;bio;phone;country;address;created_at;update_at;date_of_birth;is_author
1;about sometimes;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;366.622.7071;North Macedonia;yum;2024-08-03T09:20:46;2024-08-02T22:44:39;2024-08-03T14:51:40;true
2;snap before;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;659-399-9563;Serbia;before;2024-08-03T18:29:47;2024-08-02T21:07:42;2024-08-03T17:04:37;true
3;and suggestion yowza;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;(493) 206-53;Jamaica;yet;2024-08-03T12:37:15;2024-08-03T11:31:27;2024-08-03T03:47:18;false
4;klap;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;344.499.3992;Grenada;remnant;2024-08-03T00:26:36;2024-08-03T07:54:35;2024-08-03T09:16:33;true
5;the yuck annex;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;894-666-9869;Sao Tome and Principe;roughly around;2024-08-02T19:56:35;2024-08-02T23:43:29;2024-08-02T20:41:28;true
6;frosty bah;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;650-685-5591;Mayotte;why consequently;2024-08-03T10:53:56;2024-08-03T12:23:53;2024-08-03T18:14:29;false
7;smog blissfully;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;445-963-7509;Martinique;zany wisdom underneath;2024-08-03T13:33:51;2024-08-03T16:10:50;2024-08-03T07:48:05;false
8;versus;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;(640) 505-81;United Arab Emirates;recipient claw;2024-08-03T04:53:14;2024-08-02T19:23:04;2024-08-03T12:10:07;false
9;phooey;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;(834) 325-63;Germany;joyfully like chaise;2024-08-03T07:06:50;2024-08-03T13:38:12;2024-08-02T19:58:09;true
10;horn yippee boo;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;(493) 434-65;Suriname;peacoat per;2024-08-03T16:33:17;2024-08-03T14:24:09;2024-08-02T23:08:13;true
